"Date","Price","Open","High","Low","Vol.","Change %"
"08/26/2019","1.1100","1.1145","1.1166","1.1093","","-0.39%"
"08/23/2019","1.1144","1.1079","1.1154","1.1051","","0.60%"
"08/22/2019","1.1078","1.1085","1.1114","1.1063","","-0.05%"
"08/21/2019","1.1083","1.1100","1.1108","1.1080","","-0.14%"
"08/20/2019","1.1099","1.1079","1.1107","1.1065","","0.21%"
"08/19/2019","1.1076","1.1092","1.1114","1.1076","","-0.12%"
"08/16/2019","1.1089","1.1107","1.1114","1.1066","","-0.15%"
"08/15/2019","1.1106","1.1139","1.1159","1.1091","","-0.29%"
"08/14/2019","1.1138","1.1171","1.1192","1.1130","","-0.28%"
"08/13/2019","1.1169","1.1214","1.1229","1.1170","","-0.38%"
"08/12/2019","1.1212","1.1204","1.1231","1.1162","","0.13%"
"08/09/2019","1.1198","1.1180","1.1223","1.1179","","0.18%"
"08/08/2019","1.1178","1.1199","1.1233","1.1177","","-0.17%"
"08/07/2019","1.1197","1.1199","1.1243","1.1179","","-0.01%"
"08/06/2019","1.1198","1.1203","1.1250","1.1168","","-0.04%"
"08/05/2019","1.1202","1.1103","1.1214","1.1103","","0.86%"
"08/02/2019","1.1107","1.1085","1.1118","1.1070","","0.22%"
"08/01/2019","1.1083","1.1076","1.1096","1.1027","","0.08%"
"07/31/2019","1.1074","1.1155","1.1163","1.1059","","-0.71%"
"07/30/2019","1.1153","1.1144","1.1162","1.1132","","0.08%"
"07/29/2019","1.1144","1.1127","1.1151","1.1113","","0.17%"
"07/26/2019","1.1125","1.1147","1.1151","1.1112","","-0.18%"
"07/25/2019","1.1145","1.1141","1.1188","1.1101","","0.05%"
"07/24/2019","1.1139","1.1152","1.1159","1.1127","","-0.11%"
"07/23/2019","1.1151","1.1210","1.1211","1.1145","","-0.51%"
"07/22/2019","1.1208","1.1218","1.1226","1.1206","","-0.11%"
"07/19/2019","1.1220","1.1277","1.1283","1.1203","","-0.49%"
"07/18/2019","1.1275","1.1224","1.1281","1.1205","","0.46%"
"07/17/2019","1.1223","1.1211","1.1235","1.1200","","0.12%"
"07/16/2019","1.1209","1.1257","1.1264","1.1201","","-0.43%"
"07/15/2019","1.1257","1.1269","1.1285","1.1252","","-0.11%"
"07/12/2019","1.1269","1.1254","1.1276","1.1237","","0.15%"
"07/11/2019","1.1252","1.1251","1.1286","1.1244","","0.03%"
"07/10/2019","1.1249","1.1208","1.1264","1.1201","","0.38%"
"07/09/2019","1.1206","1.1215","1.1220","1.1193","","-0.07%"
"07/08/2019","1.1214","1.1223","1.1235","1.1207","","-0.09%"
"07/05/2019","1.1224","1.1285","1.1288","1.1207","","-0.53%"
"07/04/2019","1.1284","1.1278","1.1296","1.1272","","0.06%"
"07/03/2019","1.1277","1.1285","1.1312","1.1268","","-0.05%"
"07/02/2019","1.1283","1.1286","1.1321","1.1274","","-0.02%"
"07/01/2019","1.1285","1.1376","1.1376","1.1280","","-0.73%"
"06/28/2019","1.1368","1.1370","1.1394","1.1351","","0.00%"
"06/27/2019","1.1368","1.1369","1.1382","1.1348","","0.00%"
"06/26/2019","1.1368","1.1365","1.1392","1.1348","","0.03%"
"06/25/2019","1.1365","1.1399","1.1413","1.1343","","-0.27%"
"06/24/2019","1.1396","1.1361","1.1405","1.1361","","0.26%"
"06/21/2019","1.1366","1.1292","1.1379","1.1282","","0.66%"
"06/20/2019","1.1291","1.1226","1.1319","1.1226","","0.60%"
"06/19/2019","1.1224","1.1193","1.1254","1.1186","","0.29%"
"06/18/2019","1.1191","1.1219","1.1243","1.1180","","-0.23%"
"06/17/2019","1.1217","1.1216","1.1248","1.1204","","0.09%"
"06/14/2019","1.1207","1.1283","1.1291","1.1201","","-0.60%"
"06/13/2019","1.1275","1.1287","1.1305","1.1267","","-0.11%"
"06/12/2019","1.1287","1.1326","1.1344","1.1281","","-0.37%"
"06/11/2019","1.1329","1.1312","1.1338","1.1301","","0.15%"
"06/10/2019","1.1312","1.1324","1.1331","1.1289","","-0.17%"
"06/07/2019","1.1331","1.1276","1.1349","1.1250","","0.51%"
"06/06/2019","1.1274","1.1229","1.1309","1.1214","","0.49%"
"06/05/2019","1.1219","1.1251","1.1307","1.1219","","-0.28%"
"06/04/2019","1.1251","1.1241","1.1279","1.1226","","0.10%"
"06/03/2019","1.1240","1.1168","1.1264","1.1156","","0.65%"
"05/31/2019","1.1167","1.1135","1.1180","1.1125","","0.33%"
"05/30/2019","1.1130","1.1132","1.1145","1.1115","","0.01%"
"05/29/2019","1.1129","1.1161","1.1174","1.1123","","-0.28%"
